ids,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,Avg Area Comfort
43,70421.47649,6.90708297,7.634318731,4.44,43183.92849,Rs23265.76281321236,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802",
44,62614.42062,5.499309697,7.440505218,6.32,26888.57956,"$1,153,871.47 ","43087 Jerome Field
West Deborah, SD 49213",
45,66394.87159,7.069512154,?,,39741.07751,Rs19999.851726968136,"71956 Jenkins Fall
Brooketown, PW 67485-0764",
46,73946.85107,4.863154306,7.537182365,6.35,35261.12702,"$1,109,588.38 ","8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027",
47,69144.74571,7.296224497,5.928223473,3.22,19030.61549,Rs13069.030735161674,"Unit 8108 Box 5159
DPO AP 04678",
48,77278.69703,6.238891015,?,,21725.95429,"$1,323,952.03 ","08639 Garcia Port
Anthonybury, CT 17971",
49,86754.19663,6.604439819,6.252454805,4.02,43017.44076,Rs22166.596473925194,"91863 Curtis Point
New Richard, AK 99996-7554",
50,74399.84098,6.382452912,7.252665322,6.36,41084.66282,"$1,417,819.74 ","03819 Lee Junction Suite 046
Mooneyborough, WA 19656",0.552311721
51,49408.19834,5.825920476,?,,26881.1306,Rs7333.015274127719,"7796 Joseph Burg
Danielsside, RI 70370",
52,62279.79005,6.108449991,6.30611635,4.12,35263.65314,"$1,054,770.98 ","173 Mendoza Land
West John, NJ 57690",
53,73078.20409,5.92390639,6.445456691,3.32,54915.96178,Rs18875.300712496493,"3288 Lee Pass
South Julieton, PW 02759-4964",
54,72942.70506,4.786222295,?,,24377.90905,"$948,788.28 ","86908 Marshall Port Suite 252
Scotttown, NM 69143",
55,63819.62285,5.949839471,8.022469239,4.09,27825.57206,Rs15461.286914928307,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266",
56,73265.44989,8.314761979,7.42559746,3.24,21030.96618,"$1,547,133.40 ","00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754",
57,68488.13117,6.116111748,?,,18267.95471,Rs15822.51341251132,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955",
58,55193.85745,7.186120667,5.096917456,4.01,32537.81877,"$772,111.97 ","13706 Morgan Turnpike Suite 378
Hohaven, NC 42699",
59,77434.68924,6.309271353,5.219754029,3.06,36252.34068,Rs15636.402076924242,"4872 Delgado Ramp
North James, IA 36544",
60,66158.88159,4.476429066,?,,37098.74217,"$1,111,085.02 ","73202 Christopher Tunnel
New Roberttown, MN 08925-1536",
61,60502.90933,7.533380986,5.731824125,4.23,33579.63151,Rs13637.082276572166,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884",
62,60910.89379,5.635466738,7.325973781,4.2,43347.804,"$1,274,474.55 ","PSC 9354, Box 0703
APO AA 58696-1278",
63,73931.97852,6.394107667,?,,36543.06728,Rs16180.411331544925,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847",
64,59539.94845,6.018590243,7.007676166,5.43,58600.82715,"$1,411,730.48 ","122 Russo Neck
South Kevin, KY 20712-5282",
65,56547.50719,5.435415183,6.515149877,3.13,37585.27458,Rs11449.140878999417,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460",
66,65950.34702,5.476513158,?,,40110.8476,"$1,200,961.82 ","7125 Mullins Cliff
Maryborough, WY 66971",
67,74533.16208,6.67935313,5.919230725,4,49481.56581,Rs20269.789725032762,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319",
68,66422.91905,7.12207185,7.078583745,6.36,31019.32482,"$1,360,908.32 ","61090 Griffith Ridges
Craigstad, AK 28807-8602",
69,74334.49485,5.419012564,?,,41640.43566,Rs18145.607071814422,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483",
70,63538.34616,4.764499308,7.168662411,3.27,43282.183,"$1,146,532.45 ","10973 Clark Trafficway
Meyersbury, LA 63237",
71,83953.10484,7.385134534,6.898846569,3.08,37283.35765,Rs23854.64694255326,"91733 Baker Orchard
South Kyle, KS 37301",
72,57279.06358,5.118108905,?,,44023.79068,"$852,099.46 ","024 William Course
East Charlotteview, DE 69073-3104",
73,56553.55025,5.691129213,7.021252354,3.15,29682.40986,Rs9947.95638533984,"PSC 4455, Box 3268
APO AP 45454",
74,75795.57598,5.786780024,7.327325343,6.25,33197.77774,"$1,534,479.91 ","562 Brown Junction Suite 282
Christopherborough, KS 20719",
75,70848.78866,5.28232502,?,,40458.73587,Rs16208.113747412875,"USCGC Thompson
FPO AA 13237-3887",0.071572268
76,59787.4045,5.653120316,6.594592279,3.43,32402.10755,"$941,594.33 ","65884 Johns Valley Apt. 621
Ethanbury, NY 07783",
77,64826.37189,4.010907337,8.290419813,4.38,60286.0431,Rs16061.307166175011,"Unit 2139 Box 3667
DPO AP 49517",
78,65925.8538,7.605511954,?,,34171.36007,"$1,597,655.26 ","253 Golden Island
East Donald, CT 91882",
79,64419.25264,6.954422126,8.516160048,6.16,39318.17075,Rs19893.486611495053,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205",
80,58544.4603,8.562610576,7.276308629,4.28,30865.58695,"$1,421,216.50 ","5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398",
81,68791.79169,4.725552228,?,,48423.32244,Rs15100.305350596178,"2833 Townsend Cliffs
New Tommy, MP 86130-3426",
82,82061.5652,4.182828228,5.963031884,4.1,36271.4085,"$1,102,821.44 ","708 Pena Ramp
Terryburgh, CA 31572-1304",
83,80659.52544,5.436306202,7.100753432,6.24,52947.03636,Rs24749.484671461385,"8030 Ruiz Dale
Shermanchester, KY 56950-5684",
84,66668.09352,6.184965339,?,,47075.21223,"$1,687,998.93 ","Unit 3857 Box 9497
DPO AE 92239",
85,64721.5645,5.677637527,6.971331701,4.48,36115.81636,Rs14178.97343019822,"042 Mitchell Mountains
Adamsview, OR 44424",
86,65199.98994,6.445742898,6.937127028,3.2,28366.03543,"$1,177,289.89 ","07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759",
87,74579.98953,4.639654131,?,,42806.14664,Rs15646.325051164298,"38449 Shaw Glen
Pattonside, TX 98415",
88,76273.67033,7.879751801,4.500165348,3.39,46974.57879,"$1,637,260.00 ","82387 Hensley Bypass
Danielmouth, ME 30791",
89,67561.94206,5.251400747,7.658576339,4.04,35517.54187,Rs16519.177207093326,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688",
90,48904.98327,4.844972531,?,,32960.75307,"$201,898.09 ","2124 Garcia Viaduct
North Kellytown, DC 30864",
91,72145.96721,6.39862599,8.258634923,6.06,28882.90085,Rs19193.41468742679,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708",
92,70805.61068,4.443728924,5.809147306,3.3,29268.82674,"$585,608.63 ","874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448",
93,65383.33792,7.512526779,?,,35114.40246,Rs17262.468780626827,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159",
94,95450.29309,6.595060685,6.850361008,3.33,39388.51552,"$2,014,851.34 ","035 Mark Bridge
West Craig, MT 78649",
95,73698.69636,6.372730932,6.578352074,4.33,51815.09642,Rs24536.480077369186,"69600 Wilson Rue
Elizabethland, PW 17767-2884",
96,66263.9105,6.374930066,?,,49829.9515,"$1,441,421.91 ","001 Steve Plaza
Jessicastad, UT 25190",
97,75394.75958,6.933352468,7.834099801,4.48,22268.07531,Rs19981.874008671602,"238 Anthony Drive
Acostahaven, AS 62753-6637",
98,65984.75064,6.512270085,6.31648002,2.38,21867.47694,"$954,746.58 ","01818 Wilson Spurs
West Andreaton, SD 69568-7005",
99,66477.26279,6.982151725,?,,32458.9867,Rs14995.14575504787,"95779 Walton Square
Bakershire, PR 49599",
100,69284.25964,5.347447091,7.173425885,3.45,40282.72428,"$1,169,944.25 ","124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969",0.424711538
101,70404.4961,5.544083726,6.001261362,2.02,37127.9255,Rs14859.079378975068,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246",
102,74218.48902,8.069721867,?,,46770.66097,"$1,783,534.84 ","106 Williams Well Apt. 657
Samanthaview, PR 87811",
103,63441.71465,6.471673727,7.064811136,3.22,48061.75267,Rs17372.443300923707,"Unit 3405 Box 4348
DPO AP 68816-2990",
104,57493.92457,6.893260157,6.734045416,4.41,47039.21532,"$1,241,483.61 ","4007 Kimberly Crossing
Nathanielview, NC 72093-8287",
105,81543.77732,5.503923196,?,,9816.300885,Rs12721.527252713968,"Unit 5889 Box 7282
DPO AE 41177-0399",
106,78633.97376,5.465393231,7.531143012,3.24,43728.80349,"$1,555,320.50 ","075 Andrea Green Suite 201
Johnshire, KS 50389",
107,52202.85372,4.869306181,4.414380866,2.23,42165.81246,Rs5399.68487861636,"6811 Spears Trail Suite 081
East Troy, MS 43910",
108,67980.38878,5.562938814,?,,25909.0792,"$1,073,183.76 ","69401 Danielle Motorway
New Dennis, IL 53971",
109,78568.44916,5.47573732,6.291600796,2.29,41016.64709,Rs18962.611726007577,"2276 Riley Flats Suite 975
Johnmouth, NH 39983",
110,55472.65483,4.822147136,5.855972309,3.2,15353.95643,"$340,605.21 ","91111 Crane Spur
Kathleenmouth, ME 43022-3191",
111,67579.23479,5.973219004,?,,21762.94969,Rs15612.79368379483,"744 Hill Ports
Mooreside, MH 20945-2825",
112,61456.1507,6.882954326,6.417572622,4.19,30821.41209,"$942,838.16 ","019 Lisa Village Apt. 379
Maxwellmouth, DE 26176",
113,60815.39039,7.17012853,7.984335122,4.11,31233.64935,Rs18688.18559692429,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788",
114,51217.18116,5.384841407,?,,47089.47508,"$1,175,504.49 ","USS Harrington
FPO AE 12326",
115,63027.67471,4.855968121,5.580905937,2.3,35991.72064,Rs8117.256622562601,"246 Michele Lock Suite 093
South Michellemouth, VI 62800",
116,62484.8553,6.496651466,7.322709774,5.13,26882.65179,"$946,943.04 ","356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243",
117,73923.46627,7.005505785,?,,58745.31203,Rs24265.341821916194,"232 Allen Ridge
West Jasonview, CT 93021",
118,79737.60976,7.315957927,6.611096005,2.17,28307.31433,"$1,463,130.27 ","5042 Ricky Road
New Candice, MN 40661-8809",
119,63890.47157,4.972306568,7.916386397,5.49,43416.49782,Rs16698.549064562238,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346",
120,67310.03695,7.193792989,?,,43310.61243,"$1,714,445.17 ","89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307",
121,73145.73022,4.096517243,7.254217433,3.18,49463.37888,Rs17223.458568809077,"8533 Sparks Lodge
New Kevin, GA 98179",
122,86924.35877,6.832939699,7.738295553,6.32,28719.41089,"$1,809,154.29 ","922 Mark Lodge
Matthewton, ID 71131-3139",
123,74384.10563,7.411486571,?,,17117.44367,Rs16007.191482237105,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985",
124,67477.78818,6.623528293,7.91617166,5.1,29763.92535,"$1,300,265.21 ","PSC 8479, Box 0952
APO AA 33741",
125,71202.95692,4.318869133,6.634954066,4.37,34207.39721,Rs13299.316374359914,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463",0.348091438
126,85845.3178,6.743652961,?,,46477.67868,"$2,152,959.41 ","255 Sosa Pines Suite 751
Wilsonview, MT 31615",
127,72138.87048,7.163640935,8.485778263,5.45,35799.63827,Rs21733.117956043232,"156 Conner Lane
East Brittany, MI 26733",
128,44806.00516,4.494570528,4.725325117,3.1,57390.89007,"$497,579.45 ","478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408",
129,67504.17846,5.329798509,?,,37441.12054,Rs11868.167324238564,"67610 Smith Knolls
Brendaberg, MA 55188-7972",
130,74706.10053,5.003327764,5.661064127,2.05,39680.60932,"$1,064,685.70 ","504 Robertson Streets
Jamesshire, WA 56754",
131,68898.34591,6.787648529,7.871352644,6.39,39515.57156,Rs20401.653550891937,"777 Ross Crossroad
Kaiserville, RI 24445",
132,58118.01816,8.137214471,?,,35598.39044,"$1,246,246.83 ","2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408",
133,77643.28309,6.070115922,5.381038359,4.45,35512.25505,Rs16543.39909395176,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552",
134,67769.82559,8.074693668,6.761631408,4.22,33254.60341,"$1,760,734.69 ","26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101",
135,74411.05989,5.534627544,?,,43537.50295,Rs18583.290139565695,"4930 James Flats
New Shannon, NJ 75829-8040",
136,73101.0788,4.104129923,8.920333221,4.35,29497.97129,"$1,172,385.90 ","78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682",
137,58708.41716,5.083861036,6.262825884,4.07,15969.92604,Rs6453.1481199003965,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758",
138,63876.05991,7.080219326,?,,38052.87644,"$1,388,530.16 ","49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904",
139,68343.15409,6.39244379,8.425112895,6.2,40653.87007,Rs22956.525121846607,"4746 Morgan Forge
Diaztown, VT 79978",
140,73064.97996,5.994062799,7.204368895,6.19,30699.33971,"$1,276,448.79 ","5808 Burton Viaduct
North Nicholasport, CO 32392-1208",
141,67367.26808,6.774710809,?,,32547.27253,Rs15489.902365951495,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264",
142,66547.18175,6.350672042,5.305000412,2.04,16741.96499,"$786,407.95 ","249 Susan Canyon
North Jessica, ID 13412",
143,73313.54538,6.414723236,8.492901229,4.46,37808.99667,Rs21398.94631277885,"08091 Bush Course
New Michael, RI 47524-7511",
144,47681.36173,6.890508224,?,,50908.97891,"$1,230,149.14 ","PSC 6933, Box 3805
APO AP 50576",
145,67910.94913,6.445851907,6.675937268,4.32,31379.78297,Rs14021.927386967322,"6798 Smith Junctions
Wolfeton, WY 86565-5079",
146,69277.89125,6.142591681,7.811724471,5.15,43717.91309,"$1,415,073.61 ","256 Sanchez Ports Apt. 057
Johnmouth, PA 69763",
147,67946.71468,5.403175673,?,,35197.94257,Rs13913.118868427131,"68672 Guzman Ridge
Clinefurt, WI 04078-6179",
148,90975.11327,4.740683035,8.320351986,6.45,44426.21365,"$1,544,379.75 ","4447 Steven River Suite 076
West Karenmouth, DC 61561-8593",
149,61885.54644,5.405265969,6.91419577,3.22,48726.9513,Rs18028.47956352241,"USCGC Hess
FPO AE 29193",
150,69401.84722,7.042354995,?,,29293.07405,"$1,505,727.43 ","0617 Neal Curve
South Daniel, AS 09326",0.511321126
151,72969.12127,6.188575726,8.076943604,4.2,31755.72136,Rs18892.879715843203,"412 Janet Radial Suite 115
Kariview, NY 37073-8343",
152,75582.45976,5.506473429,6.774986419,4.33,31946.30387,"$1,046,721.98 ","9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399",
153,56241.22677,5.623087016,?,,32745.36812,Rs12520.53338080154,"3062 Donald Inlet Suite 642
West Matthew, GU 49340",
154,79412.83547,6.087360169,7.481321112,3.26,17568.73376,"$1,383,031.33 ","764 Timothy Turnpike
North Audreymouth, TX 02395",
155,79618.23685,4.566166101,6.669888411,3.49,29636.50711,Rs14300.043172582295,"862 Ryan Flat
West Larryborough, WV 11517",
156,67019.07405,6.487943167,?,,24997.10871,"$1,134,397.76 ","378 Evans Crest
East Shelbystad, HI 23326",
157,56063.48087,5.10693512,5.385339778,4.14,39129.2967,Rs9797.700106830533,"09897 Katherine Forge
North Johnside, NC 01211",
158,57077.5803,5.775467041,6.952026674,4.27,33393.9166,"$991,892.32 ","2367 Noah Center
North Dakotashire, PA 99619-0890",
159,75954.81825,4.289916281,?,,34467.7587,Rs14096.701101614675,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647",
160,52575.81517,7.133719417,7.173698882,4.06,41828.57962,"$1,237,224.86 ","8803 Jackson Ramp
South Thomasland, RI 09631-6361",
161,63312.80567,6.139115452,8.199615241,4.41,43230.35216,Rs19235.100549687453,"87629 Shawn Crossing
North William, MN 71601-6188",
162,82526.9621,6.453073406,?,,43947.68026,"$1,877,402.32 ","2574 Shannon Alley
South Fred, OR 64217",
163,73204.94213,6.640915863,7.311912321,6.4,35090.50081,Rs18593.578872901755,"676 Jose Locks Apt. 415
South Cynthia, SC 89264",
164,56357.19314,5.707903109,5.240300887,3.25,38061.9983,"$953,939.33 ","4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160",
165,71316.62465,7.107767687,?,,21651.69941,Rs16263.707122687361,"26847 Weber Ports Apt. 767
North Robinton, FM 43014",
166,75046.8482,4.983084629,8.877240042,3,32468.03115,"$1,287,325.38 ","PSC 8891, Box 6475
APO AP 28726-5123",
167,84474.16006,6.970854746,5.935909326,2.47,38677.81515,Rs23198.580733994626,"623 Jackson Road Apt. 492
Sarahville, NM 19973",
168,68162.68393,6.962206716,?,,31843.87634,"$1,213,382.22 ","0575 Edward Cliff
Miguelmouth, NY 06408",
169,62784.33295,7.572350215,4.652717554,3.31,35122.38947,Rs13433.04997908206,"6660 Alex Park
Barkerfort, WY 52781",
170,67009.81567,6.849769937,7.610720856,3.22,39737.12261,"$1,528,756.13 ","176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326",
171,67437.25036,6.767363237,?,,29356.22337,Rs15766.130288848992,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626",
172,65967.76931,6.847724976,7.777279444,3.14,35799.96255,"$1,474,546.76 ","842 Jackson Parkway
Angelabury, MI 68188-8699",
173,42816.30589,7.603999923,7.04524851,4.18,47457.66221,Rs14373.559195321335,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649",
174,83347.6697,5.468158427,?,,48226.71893,"$1,453,381.62 ","0647 Ramirez Hill
New Crystalport, AZ 33060",
175,81699.88,5.47980183,6.476007341,4.41,39527.04856,Rs19933.506197787687,"4233 Chase Fields
East Vanessabury, OR 85375-7861",0.07111758
176,56143.78866,4.580122446,6.668979774,4.04,45084.03666,"$714,148.41 ","0606 Ricardo Drive
Williamton, GU 79243",
177,59513.83492,4.885131771,?,,44162.27921,Rs11923.893965468049,"14157 Jones Parkway Suite 319
North Haley, AK 18534",
178,78379.41224,5.985697151,5.681833507,3.2,31357.38821,"$1,159,841.83 ","2579 Pamela Shoals
North Christianhaven, TX 95259",
179,70877.37574,6.766877154,7.213659075,5.07,36033.42685,Rs15946.48398446499,"PSC 5171, Box 6452
APO AA 44610-4655",
180,61526.97445,6.593962539,?,,27307.94803,"$1,381,430.63 ","23682 William Glens Apt. 920
Lake Hollystad, CO 20067",
181,65316.99602,7.414875231,6.733084867,2,55799.49748,Rs20465.198046222085,"32521 Martinez Highway
Stephaniehaven, NY 78577",
182,76268.81833,6.942797867,6.147907596,3.17,38649.85239,"$1,494,125.33 ","9109 Omar View Suite 461
East Sarahfort, WI 02969",
183,48531.36423,6.863184039,?,,39731.15056,Rs18081.9501445683,"5611 Chandler Mill
East Brianfort, AK 51236-0093",
184,82906.6548,5.901451656,5.767366136,4.26,38820.48194,"$1,454,943.07 ","PSC 5599, Box 5942
APO AP 55563-1953",
185,63117.84405,4.940396705,5.636779395,2.31,43091.84514,Rs10321.57583780666,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338",
186,75860.86115,3.69089057,?,,41003.88008,"$889,113.24 ","019 Moore Center Apt. 643
West John, KY 54923",
187,68844.76425,4.860453,6.916808181,3.29,48392.49736,Rs16148.029478523213,"Unit 3192 Box 6415
DPO AP 76779-7624",
188,52446.26686,5.694610808,7.429639244,3.11,32934.5532,"$658,646.18 ","20185 Mary Crest
South Reneeville, VI 91892",
189,69342.70684,5.804686752,?,,37082.37422,Rs18668.064943470155,"18067 Williams Roads Suite 683
South Christineton, CO 76227",
190,55932.05268,7.218309145,6.020201205,4,42488.31,"$1,262,017.79 ","089 Wilson Forks Suite 185
East Gina, PA 98785-6132",
191,53306.92214,4.632267718,6.194794325,2.15,39063.33871,Rs7374.362834827676,"9643 Oscar Valley
North Richardstad, ME 14629-9980",
192,56976.5464,6.061212241,?,,46375.50249,"$1,203,247.89 ","46619 Morgan Squares
Stevenfurt, FM 70548",
193,51296.48863,6.155259764,7.831766476,6.18,32078.9068,Rs14870.973531232075,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414",
194,63995.00489,7.59753322,7.090050637,5.25,24748.26827,"$1,301,881.42 ","USCGC Friedman
FPO AE 57606-0743",
195,71915.14669,6.279753854,?,,27714.29366,Rs13422.49849518497,"038 Anderson Club Suite 485
Richardsonfort, MA 22267",
196,62137.59721,5.440725043,7.235191288,5.21,19045.61951,"$749,383.07 ","014 Shaun Gardens
Lake Todd, HI 08110",
197,78050.96983,5.234044768,6.290305888,4.15,27789.74852,Rs14341.287821135984,"2606 Stout Inlet
Port Brenda, SC 59596-5906",
198,67371.42086,5.333820712,?,,24797.76476,"$739,870.79 ","94952 Hall Cliffs Suite 366
West Jessica, MT 23902",
199,59362.76638,7.482630242,8.003006746,3.49,44723.35373,Rs19239.268599627703,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228",
200,57003.10964,7.01058346,6.356258719,3.14,29594.69337,"$828,497.07 ","089 Jessica Dale
West Melissa, PW 59364",0.654670244
201,68989.31221,6.075426018,?,,32629.60383,Rs18310.544810380557,"USNS Hamilton
FPO AA 90003",
202,70969.9021,4.901817799,6.396268006,3.18,24833.64615,"$925,566.33 ","8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795",
203,82251.65301,7.741091334,7.636653827,6.49,18408.79864,Rs20700.490186327283,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868",
204,71306.4573,5.773717163,?,,43284.39716,"$1,335,904.50 ","3890 Hunt Trail
Davidhaven, OR 04793",
205,70921.56857,5.665185385,6.375371505,3.28,29390.21727,Rs12810.777214423388,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814",
